Year	CollectionDate	species	Count	JulianCollectionDate
2018	20180719	Drosophila suzukii	17	200
2018	20180719	Drosophila immigrans	12	200
2018	20180719	Zaprionus indianus	1	200
2018	20180719	Drosophila simulans	120	200
2018	20180726	Drosophila suzukii	16	207
2018	20180726	Drosophila suzukii	55	207
2018	20180726	Drosophila immigrans	56	207
2018	20180726	Drosophila hydei	63	207
2018	20180726	Chymomyza amoena	11	207
2018	20180726	Drosophila tripunctata	10	207
2018	20180726	Zaprionus indianus	1	207
2018	20180726	Drosophila simulans	413	207
2018	20180726	Drosophila hydei	112	207
2018	20180726	Drosophila hydei	23	207
2018	20180726	Zaprionus indianus	2	207
2018	20180726	Drosophila immigrans	16	207
2018	20180726	Drosophila suzukii	26	207
2018	20180726	Drosophila suzukii	29	207
2018	20180726	Drosophila simulans	172	207
2018	20180726	Drosophila melanogaster	46	207
2018	20180726	Drosophila melanogaster	37	207
2018	20180802	Drosophila simulans	235	214
2018	20180802	Drosophila hydei	64	214
2018	20180802	Zaprionus indianus	1	214
2018	20180802	Drosophila suzukii	2	214
2018	20180802	Drosophila suzukii	10	214
2018	20180802	Drosophila immigrans	19	214
2018	20180802	Drosophila melanogaster	39	214
2018	20180802	Drosophila simulans	121	214
2018	20180802	Drosophila immigrans	8	214
2018	20180802	Drosophila suzukii	2	214
2018	20180802	Drosophila suzukii	8	214
2018	20180802	Drosophila hydei	22	214
2018	20180802	Drosophila melanogaster	16	214
2018	20180809	Drosophila simulans	254	221
2018	20180809	Drosophila simulans	207	221
2018	20180809	Drosophila simulans	206	221
2018	20180809	Drosophila tripunctata	1	221
2018	20180809	Drosophila suzukii	30	221
2018	20180809	Drosophila suzukii	8	221
2018	20180809	Drosophila immigrans	72	221
2018	20180809	Drosophila immigrans	75	221
2018	20180809	Drosophila hydei	94	221
2018	20180809	Drosophila hydei	145	221
2018	20180809	Drosophila hydei	58	221
2018	20180809	Drosophila immigrans	66	221
2018	20180809	Drosophila immigrans	34	221
2018	20180809	Drosophila suzukii	5	221
2018	20180809	Drosophila suzukii	24	221
2018	20180809	Drosophila hydei	45	221
2018	20180809	Drosophila simulans	283	221
2018	20180809	Drosophila simulans	188	221
2018	20180809	Drosophila simulans	160	221
2018	20180809	Drosophila mel/sim	210	221
2018	20180809	Zaprionus indianus	17	221
2018	20180809	Zaprionus indianus	31	221
2018	20180809	Drosophila melanogaster	156	221
2018	20180809	Drosophila melanogaster	92	221
2018	20180816	Drosophila simulans	111	228
2018	20180816	Drosophila immigrans	57	228
2018	20180816	Drosophila hydei	38	228
2018	20180816	Drosophila suzukii	20	228
2018	20180816	Drosophila suzukii	2	228
2018	20180816	Drosophila tripunctata	3	228
2018	20180816	Zaprionus indianus	11	228
2018	20180816	Drosophila simulans	359	228
2018	20180816	Drosophila simulans	258	228
2018	20180816	Drosophila immigrans	54	228
2018	20180816	Drosophila suzukii	5	228
2018	20180816	Drosophila suzukii	2	228
2018	20180816	Drosophila hydei	52	228
2018	20180816	Zaprionus indianus	31	228
2018	20180816	Drosophila melanogaster	25	228
2018	20180816	Drosophila melanogaster	53	228
2018	20180823	Drosophila immigrans	17	235
2018	20180823	Drosophila suzukii	9	235
2018	20180823	Drosophila hydei	110	235
2018	20180823	Drosophila suzukii	13	235
2018	20180823	Drosophila simulans	259	235
2018	20180823	Zaprionus indianus	26	235
2018	20180823	Drosophila melanogaster	48	235
2018	20180823	Drosophila immigrans	18	235
2018	20180823	Drosophila hydei	86	235
2018	20180823	Drosophila suzukii	9	235
2018	20180823	Drosophila suzukii	1	235
2018	20180823	Drosophila simulans	92	235
2018	20180823	Zaprionus indianus	26	235
2018	20180823	Drosophila melanogaster	22	235
2018	20180823	Drosophila suzukii	17	235
2018	20180823	Drosophila suzukii	7	235
2018	20180823	Chymomyza amoena	20	235
2018	20180823	Zaprionus indianus	6	235
2018	20180823	Drosophila immigrans	18	235
2018	20180823	Drosophila hydei	22	235
2018	20180823	Drosophila simulans	100	235
2018	20180823	Drosophila melanogaster	53	235
2018	20180830	Drosophila hydei	19	242
2018	20180830	Zaprionus indianus	41	242
2018	20180830	Drosophila immigrans	16	242
2018	20180830	Drosophila simulans	64	242
2018	20180830	Drosophila melanogaster	13	242
2018	20180830	Drosophila suzukii	5	242
2018	20180830	Zaprionus indianus	54	242
2018	20180830	Drosophila hydei	21	242
2018	20180830	Drosophila immigrans	12	242
2018	20180830	Drosophila simulans	46	242
2018	20180830	Drosophila melanogaster	15	242
2018	20180830	Drosophila suzukii	2	242
2018	20180830	Drosophila suzukii	13	242
2018	20180830	Drosophila hydei	12	242
2018	20180830	Zaprionus indianus	5	242
2018	20180830	Drosophila simulans	68	242
2018	20180830	Drosophila melanogaster	20	242
2018	20180830	Drosophila immigrans	8	242
2018	20180906	Drosophila hydei	66	249
2018	20180906	Drosophila immigrans	46	249
2018	20180906	Chymomyza amoena	1	249
2018	20180906	Drosophila suzukii	11	249
2018	20180906	Drosophila suzukii	4	249
2018	20180906	Zaprionus indianus	93	249
2018	20180906	Drosophila simulans	233	249
2018	20180906	Drosophila hydei	67	249
2018	20180906	Zaprionus indianus	71	249
2018	20180906	Drosophila immigrans	18	249
2018	20180906	Chymomyza amoena	1	249
2018	20180906	Drosophila suzukii	19	249
2018	20180906	Drosophila suzukii	1	249
2018	20180906	Drosophila simulans	179	249
2018	20180906	Drosophila hydei	25	249
2018	20180906	Zaprionus indianus	26	249
2018	20180906	Drosophila immigrans	12	249
2018	20180906	Drosophila suzukii	12	249
2018	20180906	Drosophila simulans	143	249
2018	20180906	Drosophila melanogaster	8	249
2018	20180906	Drosophila melanogaster	11	249
2018	20180906	Drosophila melanogaster	45	249
2018	20180913	Zaprionus indianus	83	256
2018	20180913	Drosophila hydei	76	256
2018	20180913	Drosophila suzukii	12	256
2018	20180913	Drosophila suzukii	5	256
2018	20180913	Drosophila immigrans	13	256
2018	20180913	Chymomyza amoena	14	256
2018	20180913	Drosophila tripunctata	6	256
2018	20180913	Drosophila simulans	76	256
2018	20180913	Drosophila melanogaster	47	256
2018	20180920	Drosophila hydei	50	263
2018	20180920	Zaprionus indianus	117	263
2018	20180920	Zaprionus indianus	14	263
2018	20180920	Drosophila tripunctata	2	263
2018	20180920	Chymomyza amoena	7	263
2018	20180920	Drosophila immigrans	2	263
2018	20180920	Drosophila suzukii	3	263
2018	20180920	Drosophila suzukii	3	263
2018	20180920	Drosophila simulans	239	263
2018	20180920	Drosophila melanogaster	161	263
2018	20180927	Drosophila hydei	36	270
2018	20180927	Zaprionus indianus	84	270
2018	20180927	Drosophila immigrans	2	270
2018	20180927	Chymomyza amoena	2	270
2018	20180927	Drosophila simulans	178	270
2018	20180927	Drosophila melanogaster	49	270
2018	20181004	Drosophila hydei	12	277
2018	20181004	Chymomyza amoena	2	277
2018	20181004	Drosophila immigrans	2	277
2018	20181004	Drosophila suzukii	2	277
2018	20181004	Drosophila suzukii	1	277
2018	20181004	Zaprionus indianus	232	277
2018	20181004	Drosophila simulans	269	277
2018	20181004	Drosophila melanogaster	91	277
2018	20181004	Zaprionus indianus	110	277
2018	20181004	Drosophila immigrans	3	277
2018	20181004	Drosophila suzukii	2	277
2018	20181004	Drosophila suzukii	1	277
2018	20181004	Drosophila tripunctata	2	277
2018	20181004	Drosophila hydei	45	277
2018	20181004	Drosophila simulans	171	277
2018	20181004	Drosophila melanogaster	50	277
2018	20181011	Zaprionus indianus	154	284
2018	20181011	Zaprionus indianus	153	284
2018	20181011	Zaprionus indianus	72	284
2018	20181011	Drosophila hydei	5	284
2018	20181011	Drosophila tripunctata	1	284
2018	20181011	Drosophila suzukii	1	284
2018	20181011	Drosophila suzukii	2	284
2018	20181011	Chymomyza amoena	1	284
2018	20181011	Drosophila simulans	244	284
2018	20181011	Drosophila simulans	83	284
2018	20181011	Drosophila melanogaster	89	284
2018	20181018	Zaprionus indianus	18	291
2018	20181018	Chymomyza amoena	1	291
2018	20181018	Drosophila hydei	13	291
2018	20181018	Drosophila immigrans	1	291
2018	20181018	Drosophila simulans	520	291
2018	20181018	Zaprionus indianus	2	291
2018	20181018	Drosophila simulans	201	291
2018	20181018	Drosophila melanogaster	114	291
2018	20181018	Drosophila melanogaster	89	291
2018	20181025	Drosophila hydei	60	298
2018	20181025	Zaprionus indianus	53	298
2018	20181025	Drosophila suzukii	1	298
2018	20181025	Drosophila immigrans	3	298
2018	20181025	Drosophila simulans	326	298
2018	20181025	Drosophila simulans	181	298
2018	20181025	Drosophila melanogaster	180	298
2018	20181101	Zaprionus indianus	173	305
2018	20181101	Drosophila immigrans	5	305
2018	20181101	Drosophila hydei	9	305
2018	20181101	Drosophila suzukii	4	305
2018	20181101	Drosophila simulans	326	305
2018	20181101	Zaprionus indianus	90	305
2018	20181101	Drosophila immigrans	10	305
2018	20181101	Drosophila hydei	1	305
2018	20181101	Drosophila suzukii	5	305
2018	20181101	Drosophila suzukii	1	305
2018	20181101	Drosophila simulans	134	305
2018	20181101	Drosophila melanogaster	163	305
2018	20181101	Drosophila melanogaster	29	305
2018	20181117	unknown	2	321
2018	20181117	Drosophila hydei	69	321
2018	20181117	Drosophila immigrans	5	321
2018	20181117	Chymomyza amoena	1	321
2018	20181117	Zaprionus indianus	6	321
2018	20181117	Drosophila suzukii	1	321
2018	20181117	Drosophila melanogaster	170	321
2018	20181117	Drosophila simulans	237	321
2018	20181129	Chymomyza amoena	1	333
2018	20181129	Drosophila melanogaster	27	333
2018	20181129	Drosophila simulans	25	333
