chromosome arm	start	stop	polytene_band	map_Comeron
2L	248909	249812	21B5-21B5	2-0.0
2L	251039	252373	21B5-21B5	2-0.0
2L	252589	271744	21B5-21B7	2-0.0
2L	259949	267505	21B6-21B7	2-0.0
2L	262203	263003	21B6-21B6	2-0.0
2L	269088	271626	21B7-21B7	2-0.0
2L	271912	273715	21B7-21B7	2-0.0
2L	273836	274766	21B7-21B8	2-0.0
2L	274740	278234	21B7-21B8	2-0.0
2L	277582	282167	21B7-21B7	2-0.0
2L	281670	283269	21B7-21B7	2-0.0
2L	283385	291795	21B7-21B7	2-0.0
2L	283807	284255	21B7-21B7	2-0.0
2L	286383	288292	21B7-21B7	2-0.0
2L	287252	289144	21B7-21B7	2-0.0
2L	292419	293222	21B7-21B7	2-0.0
2L	292959	294681	21B7-21B8	2-0.0
2L	295122	297449	21B8-21B8	2-0.0
2L	297880	305233	21B8-21B8	2-0.0
2L	305935	355566	21B8-21C1	2-0.0
2L	308537	309348	21B8-21B8	2-0.0
2L	318362	319259	21B8-21B8	2-0.0
2L	320279	321248	21B8-21B8	2-0.0
2L	322101	323091	21B8-21B8	2-0.0
2L	325522	329761	21C1-21C1	2-0.0
2L	329910	332335	21C1-21C1	2-0.0
2L	355565	357874	21C1-21C1	2-0.0
2L	355663	356891	21C1-21C1	2-0.0
2L	357329	358174	21C1-21C1	2-0.0
2L	378112	387439	21C1-21C1	2-0.0
2L	396120	396571	21C2-21C2	2-0.0
2L	396595	402198	21C2-21C2	2-0.0
2L	404285	407969	21C2-21C2	2-0.0
2L	408030	414777	21C2-21C2	2-0.0
2L	415067	418536	21C2-21C2	2-0.0
2L	418434	419652	21C2-21C2	2-0.0
2L	419952	420864	21C2-21C2	2-0.0
2L	420895	421450	21C2-21C2	2-0.0
2L	421771	422489	21C2-21C2	2-0.0
2L	422873	425321	21C2-21C2	2-0.0
2L	431227	448701	21C2-21C2	2-0.0
2L	439539	440104	21C2-21C2	2-0.0
2L	448254	453024	21C2-21C2	2-0.0
2L	453108	454654	21C2-21C2	2-0.0
2L	454754	455313	21C2-21C2	2-0.0
2L	455531	458745	21C2-21C8	2-0.0
2L	458876	472200	21C8-21D1	2-0.0
2L	473013	476170	21D1-21D1	2-0.0
2L	476220	540560	21D1-21E2	2-0.1
2L	476446	479688	21D1-21D1	2-0.0
2L	490835	492649	21D2-21D2	2-0.0
2L	500873	502236	21D3-21D3	2-0.2
2L	540599	542580	21E2-21E2	2-0.2
2L	542786	544653	21E2-21E2	2-0.2
2L	544925	552923	21E2-21E2	2-0.2
2L	545129	547096	21E2-21E2	2-0.2
2L	553742	560310	21E2-21E2	2-0.2
2L	559612	560523	21E2-21E2	2-0.2
2L	560568	563819	21E2-21E2	2-0.2
2L	564163	566472	21E2-21E2	2-0.2
2L	566366	568121	21E2-21E2	2-0.2
2L	568340	572907	21E2-21E2	2-0.2
2L	573033	574264	21E2-21E2	2-0.2
2L	574291	575734	21E2-21E2	2-0.2
2L	575711	576896	21E2-21E2	2-0.2
2L	577486	579549	21E2-21E2	2-0.2
2L	583540	594685	21E2-21E2	2-0.2
2L	588048	588784	21E2-21E2	2-0.2
2L	602813	604430	21E2-21E2	2-0.4
2L	605914	606412	21E2-21E2	2-0.4
2L	608340	609134	21E2-21E2	2-0.4
2L	620298	621201	21E2-21E2	2-0.4
2L	623107	623665	21E2-21E2	2-0.4
2L	623900	624323	21E2-21E2	2-0.4
2L	624617	625556	21E2-21E2	2-0.4
2L	625652	628200	21E2-21E2	2-0.4
2L	628729	629052	21E2-21E2	2-0.4
2L	640013	714983	21E2-21E2	2-0.4
2L	710568	715307	21E2-21E2	2-0.5
2L	721985	724833	21E2-21E2	2-0.5
2L	728362	730564	21E2-21E2	2-0.5
2L	737212	744395	21E2-21E2	2-0.5
2L	749945	762399	21E2-21E2	2-0.5
2L	772514	773093	21E2-21E2	2-0.5
2L	773547	774017	21E2-21E2	2-0.5
2L	776536	776941	21E2-21E2	2-0.5
2L	779173	779655	21E2-21E2	2-0.5
2L	780482	782885	21E2-21E2	2-0.5
2L	784336	788776	21E2-21E2	2-0.5
2L	786153	790798	21E2-21E2	2-0.5
2L	799856	800323	21E2-21E2	2-0.6
2L	810577	811531	21E2-21E2	2-0.7
2L	811584	813380	21E2-21E2	2-0.7
2L	813314	815950	21E2-21E2	2-0.7
2L	815993	818096	21E2-21E2	2-0.7
2L	816994	817950	21E2-21E2	2-0.7
2L	818079	819508	21E2-21E2	2-0.7
2L	819964	821209	21E2-21E2	2-0.7
2L	821289	824337	21E2-21E2	2-0.7
2L	824329	825861	21E2-21E2	2-0.7
2L	825969	833241	21E2-21E2	2-0.7
2L	833584	851071	21E2-21E2	2-0.7
2L	850702	851163	21E2-21E2	2-0.7
2L	851251	852730	21E2-21E2	2-0.7
2L	852768	854539	21E2-21E2	2-0.7
2L	855337	856639	21E2-21E2	2-0.7
2L	857403	857795	21E2-21E2	2-0.7
2L	857542	857632	21E2-21E2	2-0.7
2L	860309	861806	21E2-21E2	2-0.7
2L	861849	868354	21E2-21E2	2-0.7
2L	865366	865493	21E2-21E2	2-0.7
2L	868673	869857	21E2-21E2	2-0.7
2L	870465	877038	21E2-21E2	2-0.7
2L	877172	885141	21E2-21E2	2-0.7
2L	877302	878270	21E2-21E2	2-0.7
2L	897453	898050	21E2-21E2	2-0.7
2L	898500	901316	21E2-21E2	2-0.9
2L	901491	901654	21E2-21E2	2-1.0
2L	904029	904347	21E2-21E2	2-1.0
2L	912981	913305	21E2-21E2	2-1.0
2L	914086	917805	21E2-21E2	2-1.0
2L	922793	958098	21E2-21E2	2-1.0
2L	987899	991300	21E3-21E3	2-1.0
2L	1008378	1048053	21E3-21E3	2-1.4
2L	1026105	1026897	21E3-21E3	2-1.4
2L	1037246	1038685	21E3-21E3	2-1.4
2L	1049674	1077815	21E4-21E4	2-1.4
2L	1077948	1080803	21E4-21E4	2-1.4
2L	1080911	1085380	21E4-21E4	2-1.4
2L	1083091	1102504	21E4-21F1	2-1.5
2L	1103254	1108373	21F1-21F1	2-1.7
2L	1108540	1112694	21F1-21F1	2-1.7
2L	1112941	1114138	21F1-21F1	2-1.7
2L	1114654	1128953	21F1-21F1	2-1.7
2L	1129316	1132411	21F1-21F1	2-1.7
2L	1132332	1134098	21F1-21F1	2-1.7
2L	1134693	1141156	21F1-21F1	2-1.7
2L	1142869	1143216	21F1-21F1	2-1.7
2L	1143201	1147395	21F1-21F1	2-1.7
2L	1147822	1149449	21F1-21F1	2-1.7
2L	1149445	1150677	21F1-21F1	2-1.7
2L	1150766	1151764	21F1-21F1	2-1.7
2L	1151678	1158262	21F1-21F1	2-1.7
2L	1158576	1159355	21F1-21F1	2-1.7
2L	1158661	1160220	21F1-21F1	2-1.7
2L	1160290	1163886	21F1-21F1	2-1.7
2L	1164443	1166425	21F1-21F1	2-1.7
2L	1166506	1167211	21F1-21F1	2-1.7
2L	1167172	1170365	21F1-21F1	2-1.7
2L	1170181	1170789	21F1-21F2	2-1.7
2L	1170753	1172805	21F2-21F2	2-1.7
2L	1173009	1177589	21F2-21F2	2-1.7
2L	1177690	1182454	21F2-21F2	2-1.7
2L	1182297	1184020	21F2-21F2	2-1.7
2L	1184065	1185698	21F2-21F2	2-1.7
2L	1185757	1196807	21F2-21F2	2-1.7
2L	1198465	1199266	21F2-21F2	2-1.7
2L	1199412	1199924	21F2-21F2	2-1.7
2L	1200205	1200663	21F2-21F2	2-2.0
2L	1200671	1201220	21F2-21F2	2-2.0
2L	1204215	1205250	21F2-21F2	2-2.0
2L	1214649	1215293	21F2-21F2	2-2.0
2L	1216854	1217785	21F2-21F2	2-2.0
2L	1219293	1229802	21F3-21F3	2-2.0
2L	1240036	1243018	21F3-21F3	2-2.0
2L	1256417	1296596	21F3-21F4	2-2.0
2L	1329161	1329993	22A1-22A1	2-2.2
2L	1334128	1335514	22A1-22A1	2-2.2
2L	1341365	1342095	22A1-22A1	2-2.2
2L	1343443	1344171	22A1-22A1	2-2.2
2L	1344400	1345135	22A1-22A1	2-2.2
2L	1345501	1345840	22A1-22A1	2-2.2
2L	1345965	1346331	22A1-22A1	2-2.2
2L	1351728	1352868	22A1-22A1	2-2.2
2L	1352970	1354109	22A1-22A1	2-2.2
2L	1354101	1354919	22A1-22A1	2-2.2
2L	1354911	1355924	22A1-22A1	2-2.2
2L	1358925	1359790	22A1-22A1	2-2.2
2L	1359837	1361821	22A1-22A1	2-2.2
2L	1367996	1369050	22A1-22A1	2-2.2
2L	1380083	1381326	22A1-22A1	2-2.2
2L	1380086	1420453	22A1-22A1	2-2.2
2L	1381211	1382796	22A1-22A1	2-2.2
2L	1428474	1429159	22A1-22A2	2-2.3
2L	1432711	1432921	22A2-22A2	2-2.3
2L	1442627	1443832	22A2-22A2	2-2.3
2L	1492295	1493859	22A2-22A2	2-2.3
2L	1494070	1495456	22A2-22A2	2-2.3
2L	1495460	1497071	22A2-22A2	2-2.3
2L	1497243	1498583	22A2-22A2	2-2.3
2L	1498455	1500608	22A2-22A2	2-2.4
2L	1500784	1502904	22A2-22A2	2-2.5
2L	1500830	1504204	22A2-22A2	2-2.5
2L	1516795	1517478	22A2-22A2	2-2.5
2L	1517533	1518148	22A2-22A2	2-2.5
2L	1520034	1520387	22A2-22A2	2-2.5
2L	1520491	1522156	22A2-22A2	2-2.5
2L	1522697	1524257	22A2-22A2	2-2.5
2L	1555129	1608404	22A3-22A3	2-2.7
2L	1584866	1587155	22A3-22A3	2-2.5
2L	1594822	1611157	22A3-22A3	2-2.7
2L	1611410	1612576	22A3-22A3	2-2.8
2L	1612429	1614160	22A3-22A3	2-2.8
2L	1618637	1626021	22A3-22A3	2-2.8
2L	1646932	1647163	22A5-22A5	2-2.8
2L	1651258	1704682	22A5-22B1	2-2.9
2L	1704902	1706962	22B1-22B1	2-3.0
2L	1707132	1710421	22B1-22B1	2-3.0
2L	1708452	1709244	22B1-22B1	2-3.0
2L	1710462	1711465	22B1-22B1	2-3.0
2L	1711302	1715851	22B1-22B1	2-3.0
2L	1716244	1724388	22B1-22B1	2-3.0
2L	1724768	1729636	22B1-22B1	2-3.0
2L	1728732	1729762	22B1-22B1	2-3.0
2L	1729887	1731070	22B1-22B1	2-3.0
2L	1731033	1732356	22B1-22B1	2-3.0
2L	1732524	1750612	22B1-22B2	2-3.0
2L	1750687	1752122	22B2-22B2	2-3.0
2L	1752308	1752848	22B2-22B2	2-3.0
2L	1755253	1756451	22B2-22B2	2-3.0
2L	1758286	1759093	22B2-22B2	2-3.0
2L	1784062	1785286	22B2-22B2	2-3.0
2L	1789141	1790361	22B2-22B2	2-3.0
2L	1790617	1791823	22B2-22B2	2-3.0
2L	1792057	1793268	22B2-22B2	2-3.0
2L	1793668	1794917	22B2-22B2	2-3.0
2L	1821256	1823331	22B3-22B3	2-3.2
2L	1824172	1826500	22B3-22B3	2-3.2
2L	1831627	1832565	22B3-22B3	2-3.2
2L	1831685	1831799	22B3-22B3	2-3.2
2L	1836538	1858550	22B3-22B4	2-3.2
2L	1839494	1839896	22B3-22B3	2-3.2
2L	1840070	1840808	22B3-22B3	2-3.2
2L	1858609	1881480	22B4-22B4	2-3.2
2L	1869803	1871032	22B4-22B4	2-3.2
2L	1872693	1873511	22B4-22B4	2-3.2
2L	1882008	1883185	22B4-22B4	2-3.2
2L	1884622	1944289	22B4-22B6	2-3.5
2L	1938089	1938159	22B6-22B6	2-3.7
2L	1945150	1945709	22B6-22B6	2-3.7
2L	1945815	1946728	22B6-22B6	2-3.7
2L	1950239	1970362	22B6-22B8	2-3.7
2L	1965426	1965498	22B8-22B8	2-3.7
2L	1973957	1975413	22B8-22B8	2-3.7
2L	1975463	1980755	22B8-22B8	2-3.7
2L	1981176	1982099	22B8-22B8	2-3.7
2L	1982217	1984514	22B8-22B8	2-3.7
2L	1984512	1987758	22B8-22B8	2-3.7
2L	1988290	1988940	22B8-22B8	2-3.7
2L	1989450	1990894	22B8-22B8	2-3.7
2L	1991381	1992160	22B8-22B8	2-3.7
2L	1997102	2006313	22B8-22B8	2-3.9
2L	2000058	2003935	22B8-22B8	2-4.0
2L	2006763	2007193	22B8-22B8	2-4.0
2L	2006867	2007688	22B8-22B8	2-4.0
2L	2008414	2009072	22B8-22B8	2-4.0
2L	2009155	2009226	22B8-22B8	2-4.0
2L	2009538	2009609	22B8-22B8	2-4.0
2L	2009859	2030788	22B8-22C1	2-4.0
2L	2010646	2010717	22B8-22B8	2-4.0
2L	2010869	2010940	22B8-22B8	2-4.0
2L	2013179	2013250	22B8-22B8	2-4.0
2L	2031692	2031762	22C1-22C1	2-4.0
2L	2032519	2036041	22C1-22C1	2-4.0
2L	2036409	2037265	22C1-22C1	2-4.0
2L	2037714	2044372	22C1-22C1	2-4.0
2L	2044517	2045381	22C1-22C1	2-4.0
2L	2045494	2048054	22C1-22C1	2-4.0
2L	2054589	2057967	22C1-22C1	2-4.0
2L	2058790	2109878	22C1-22C3	2-4.1
2L	2079919	2081286	22C2-22C2	2-4.0
2L	2082031	2082347	22C2-22C2	2-4.0
2L	2083362	2084419	22C2-22C2	2-4.0
2L	2127309	2129237	22C3-22C3	2-4.2
2L	2130813	2137296	22C3-22D1	2-4.2
2L	2137350	2145187	22D1-22D1	2-4.2
2L	2145297	2147275	22D1-22D1	2-4.2
2L	2147518	2151664	22D1-22D1	2-4.2
2L	2151754	2155389	22D1-22D1	2-4.2
2L	2155753	2156790	22D1-22D1	2-4.2
2L	2156484	2178754	22D1-22D1	2-4.2
2L	2181962	2185495	22D1-22D1	2-4.2
2L	2186975	2187970	22D1-22D1	2-4.2
2L	2187007	2187079	22D1-22D1	2-4.2
2L	2188620	2189405	22D1-22D1	2-4.2
2L	2189914	2192386	22D1-22D1	2-4.2
2L	2190191	2191272	22D1-22D1	2-4.2
2L	2192525	2197912	22D1-22D1	2-4.2
2L	2203721	2206166	22D1-22D4	2-4.5
2L	2206525	2209102	22D4-22D4	2-4.5
2L	2209574	2212571	22D4-22D4	2-4.5
2L	2212738	2214211	22D4-22D4	2-4.5
2L	2214266	2215167	22D4-22D4	2-4.5
2L	2214972	2216311	22D4-22D4	2-4.5
2L	2216503	2217246	22D4-22D4	2-4.5
2L	2216503	2217246	22D4-22D4	2-4.5
2L	2217290	2220625	22D4-22D4	2-4.5
2L	2220748	2225544	22D4-22D4	2-4.5
2L	2225545	2226294	22D4-22D4	2-4.5
2L	2226342	2231099	22D4-22D4	2-4.5
2L	2226753	2227604	22D4-22D4	2-4.5
2L	2231106	2236844	22D4-22D5	2-4.5
2L	2236347	2237022	22D5-22D5	2-4.5
2L	2237076	2238251	22D5-22D5	2-4.5
2L	2238304	2239384	22D5-22D5	2-4.5
2L	2239414	2240593	22D5-22D5	2-4.5
2L	2242378	2245274	22D5-22D5	2-4.5
2L	2245230	2247383	22D5-22D5	2-4.5
2L	2250431	2251275	22D5-22D5	2-4.5
2L	2251510	2252341	22D5-22D5	2-4.5
2L	2253045	2253852	22D5-22D5	2-4.5
2L	2254176	2255050	22D5-22D5	2-4.5
2L	2257635	2258000	22D5-22D5	2-4.5
2L	2259396	2259730	22D5-22D5	2-4.5
2L	2263442	2264241	22D6-22D6	2-4.5
2L	2264231	2265321	22D6-22D6	2-4.5
2L	2268106	2269140	22D6-22D6	2-4.5
2L	2271319	2279714	22D6-22D6	2-4.5
2L	2283705	2285003	22D6-22D6	2-4.5
2L	2285163	2285926	22D6-22D6	2-4.5
2L	2285925	2286873	22D6-22D6	2-4.5
2L	2287025	2287933	22D6-22D6	2-4.5
2L	2288503	2289416	22D6-22D6	2-4.5
2L	2290224	2290738	22D6-22D6	2-4.5
2L	2300103	2300888	22E1-22E1	2-4.7
2L	2307948	2308872	22E1-22E1	2-4.7
2L	2308761	2357356	22E1-22E1	2-4.7
2L	2311680	2358944	22E1-22E1	2-4.7
2L	2359142	2365273	22E1-22E1	2-4.7
2L	2365345	2370137	22E1-22E1	2-4.7
2L	2370152	2371524	22E1-22E1	2-4.7
2L	2372455	2374627	22E1-22E1	2-4.7
2L	2374713	2375697	22E1-22E1	2-4.7
2L	2374955	2375582	22E1-22E1	2-4.7
2L	2375841	2380506	22E1-22E1	2-4.7
2L	2381097	2383073	22E1-22E1	2-4.7
2L	2383202	2384747	22E1-22E1	2-4.7
2L	2384761	2385792	22E1-22E1	2-4.7
2L	2389578	2390689	22E1-22E1	2-4.7
2L	2391660	2410662	22E1-22E1	2-4.9
2L	2410624	2415322	22E1-22E1	2-5.1
2L	2415359	2416720	22E1-22E1	2-5.1
2L	2416792	2417965	22E1-22E1	2-5.1
2L	2418422	2420013	22E1-22E1	2-5.1
2L	2420830	2424647	22E1-22E1	2-5.1
2L	2424797	2425041	22E1-22E4	2-5.1
2L	2427050	2427881	22F1-22F1	2-5.1
2L	2428372	2459823	22F1-22F3	2-5.1
2L	2459924	2460044	22F3-22F3	2-5.1
2L	2462593	2462686	22F3-22F3	2-5.1
2L	2471644	2472978	22F3-22F3	2-5.1
2L	2488197	2492671	22F3-22F3	2-5.1
2L	2492955	2498846	22F4-22F4	2-5.1
2L	2507312	2507596	22F4-22F4	2-5.4
2L	2517102	2518037	22F4-22F4	2-5.4
2L	2517290	2518207	22F4-22F4	2-5.4
2L	2532999	2533569	22F4-22F4	2-5.4
2L	2551145	2552825	22F4-22F4	2-5.4
2L	2555750	2556089	22F4-22F4	2-5.4
2L	2562483	2564830	22F4-23A1	2-5.4
2L	2564886	2573037	23A1-23A1	2-5.4
2L	2573436	2575052	23A1-23A1	2-5.4
2L	2573436	2575052	23A1-23A1	2-5.4
2L	2575280	2576997	23A1-23A1	2-5.4
2L	2577687	2579179	23A1-23A1	2-5.4
2L	2579201	2580172	23A1-23A1	2-5.4
2L	2580292	2581423	23A1-23A1	2-5.4
2L	2581281	2585430	23A1-23A1	2-5.4
2L	2591869	2592773	23A1-23A1	2-5.4
2L	2598608	2599860	23A1-23A1	2-5.4
2L	2601033	2601721	23A1-23A1	2-5.7
2L	2609994	2611283	23A1-23A1	2-5.7
2L	2620187	2620782	23A1-23A1	2-5.7
2L	2625456	2627855	23A1-23A1	2-5.7
2L	2646030	2646281	23A2-23A2	2-5.7
2L	2646577	2647720	23A2-23A2	2-5.7
2L	2647886	2648361	23A2-23A2	2-5.7
2L	2648360	2652414	23A2-23A2	2-5.7
2L	2653046	2653926	23A2-23A2	2-5.7
2L	2654049	2655462	23A2-23A2	2-5.7
2L	2655394	2657102	23A2-23A2	2-5.7
2L	2665062	2666265	23A2-23A2	2-5.7
2L	2669823	2672186	23A2-23A2	2-5.7
2L	2677734	2719431	23A2-23A2	2-6.0
2L	2695330	2696437	23A2-23A2	2-5.7
2L	2725674	2739830	23A3-23A3	2-6.2
2L	2737568	2737661	23A3-23A3	2-6.2
2L	2739986	2743377	23A3-23A3	2-6.2
2L	2743375	2744934	23A3-23A3	2-6.2
2L	2745098	2746944	23A3-23A3	2-6.2
2L	2746880	2753068	23A4-23A3	2-6.2
2L	2752445	2757975	23A3-23A3	2-6.2
2L	2757940	2758176	23A3-23A3	2-6.2
2L	2758427	2759677	23A3-23A3	2-6.2
2L	2758427	2759677	23A3-23A3	2-6.2
2L	2759924	2763889	23A3-23A5	2-6.2
2L	2763416	2765665	23A5-23A5	2-6.2
2L	2766233	2767281	23A5-23A5	2-6.2
2L	2767286	2767845	23A5-23A5	2-6.2
2L	2767890	2768612	23A5-23A5	2-6.2
2L	2768590	2770069	23A5-23A5	2-6.2
2L	2770135	2770904	23A5-23A5	2-6.2
2L	2770884	2771776	23A5-23A5	2-6.2
2L	2772327	2799979	23A6-23B1	2-6.2
2L	2797832	2798321	23B1-23B1	2-6.2
2L	2805261	2812376	23B1-23B2	2-6.5
2L	2812437	2814429	23B2-23B2	2-6.5
2L	2814336	2815760	23B2-23B2	2-6.5
2L	2815970	2830248	23B2-23B3	2-6.5
2L	2823546	2825506	23B2-23B2	2-6.5
2L	2834887	2837833	23B3-23B3	2-6.5
2L	2838411	2839547	23B3-23B3	2-6.5
2L	2840025	2840316	23B4-23B4	2-6.5
2L	2840124	2842638	23B4-23B4	2-6.5
2L	2842589	2844513	23B4-23B4	2-6.5
2L	2844601	2845734	23B4-23B4	2-6.5
2L	2845926	2847212	23B4-23B5	2-6.5
2L	2847632	2848997	23B5-23B5	2-6.5
2L	2848989	2855778	23B5-23B5	2-6.5
2L	2856070	2857029	23B5-23B6	2-6.5
2L	2857164	2868548	23B6-23B7	2-6.5
2L	2868627	2874489	23B7-23B8	2-6.5
2L	2869652	2870649	23B7-23B8	2-6.5
2L	2874890	2877168	23B8-23C1	2-6.5
2L	2877091	2878232	23C1-23C1	2-6.5
2L	2878344	2879001	23C1-23C1	2-6.5
2L	2879112	2880708	23C1-23C1	2-6.5
2L	2880704	2885850	23C1-23C1	2-6.5
2L	2885929	2954406	23C1-23C3	2-6.5
2L	2954762	2968434	23C3-23C3	2-6.6
2L	2968293	2969638	23C3-23C3	2-6.6
2L	2969773	2972508	23C3-23C4	2-6.6
2L	2972891	2974858	23C1-23C4	2-6.6
2L	2974859	2976862	23C4-23C4	2-6.6
2L	2977122	2978500	23C4-23C4	2-6.6
2L	2978411	2979288	23C4-23C4	2-6.6
2L	2979562	2987723	23C1-23E2	2-6.6
2L	2988116	2990075	23C4-23C4	2-6.6
2L	2989594	2992759	23C4-23C4	2-6.6
2L	2992870	2998726	23C4-23C4	2-6.6
2L	2999286	3016069	23C4-23C4	2-6.6
2L	3016441	3018308	23C4-23C4	2-6.7
2L	3018508	3021506	23C4-23C4	2-6.7
2L	3021309	3023141	23C4-23C4	2-6.7
2L	3023226	3026439	23C4-23C4	2-6.7
2L	3026252	3029168	23C4-23C4	2-6.7
2L	3029253	3030616	23C4-23C5	2-6.7
2L	3030412	3030903	23C4-23C5	2-6.7
2L	3030539	3032300	23C5-23C5	2-6.7
2L	3032210	3035348	23C5-23C5	2-6.7
2L	3035493	3037403	23C5-23C5	2-6.7
2L	3037230	3038793	23C5-23C5	2-6.7
2L	3038826	3039812	23C5-23C5	2-6.7
2L	3039976	3041890	23C5-23C5	2-6.7
2L	3042551	3043593	23C5-23C5	2-6.7
2L	3043947	3056143	23C5-23C5	2-6.7
2L	3046746	3046904	23C5-23C5	2-6.7
2L	3048701	3048831	23C5-23C5	2-6.7
2L	3056598	3068177	23C5-23D1	2-6.7
2L	3068345	3144786	23D1-23D2	2-7.0
2L	3109672	3110998	23D1-23D1	2-7.4
2L	3128635	3129489	23D2-23D2	2-7.4
2L	3144953	3145848	23D2-23D3	2-7.4
2L	3146056	3159643	23D3-23D3	2-7.4
2L	3159950	3162399	23D4-23D4	2-7.4
2L	3162515	3163289	23D4-23D4	2-7.4
2L	3163645	3169462	23D4-23D4	2-7.4
2L	3169582	3169663	23D4-23D4	2-7.4
2L	3169820	3171092	23D4-23D4	2-7.4
2L	3171035	3172799	23D4-23D4	2-7.4
2L	3173003	3173084	23D4-23D4	2-7.4
2L	3173205	3173840	23D4-23D4	2-7.4
2L	3173972	3174504	23D4-23D4	2-7.4
2L	3175112	3200496	23D4-23D4	2-7.5
2L	3210515	3211156	23D6-23D6	2-7.6
2L	3260973	3261281	23E1-23E1	2-7.6
2L	3261638	3262007	23E1-23E1	2-7.6
2L	3264168	3265714	23E1-23E1	2-7.6
2L	3268269	3268646	23E1-23E1	2-7.6
2L	3269437	3271806	23E1-23E1	2-7.6
2L	3275800	3280534	23E1-23E1	2-7.6
2L	3287822	3288591	23E1-23E1	2-7.6
2L	3291245	3294706	23E1-23E1	2-7.6
2L	3294926	3303130	23E1-23E3	2-7.7
2L	3304100	3317418	23E3-23E3	2-7.8
2L	3309222	3311682	23E3-23E3	2-7.8
2L	3316794	3319872	23E3-23E3	2-7.8
2L	3320245	3323141	23E3-23E4	2-7.8
2L	3324237	3326637	23E4-23E4	2-7.8
2L	3327903	3329792	23E4-23E4	2-7.8
2L	3330928	3332876	23E4-23E4	2-7.8
2L	3332814	3334790	23E4-23E4	2-7.8
2L	3334875	3354829	23E4-23E5	2-7.8
2L	3357646	3358618	23E5-23E5	2-7.8
2L	3358640	3373372	23E5-23E6	2-7.8
2L	3373567	3375711	23F1-23F1	2-7.8
2L	3375832	3376737	23F1-23F1	2-7.8
2L	3377002	3378590	23F1-23F1	2-7.8
2L	3386863	3387278	23F1-23F1	2-7.8
2L	3387354	3387743	23F1-23F1	2-7.8
2L	3387882	3388496	23F1-23F1	2-7.8
2L	3389348	3389753	23F1-23F1	2-7.8
2L	3397323	3397851	23F1-23F1	2-7.8
2L	3398023	3398684	23F1-23F1	2-7.8
2L	3404460	3426719	23F1-23F1	2-8.3
2L	3410560	3411199	23F1-23F1	2-8.3
2L	3416693	3418068	23F1-23F1	2-8.3
2L	3445992	3447589	23F3-23F3	2-8.3
2L	3449683	3452106	23F3-23F3	2-8.3
2L	3452466	3453755	23F3-23F3	2-8.3
2L	3453697	3457064	23F3-23F3	2-8.3
2L	3457302	3460367	23F3-23F3	2-8.3
2L	3460322	3461952	23F3-23F3	2-8.3
2L	3462218	3466112	23F3-23F3	2-8.3
2L	3463290	3463400	23F3-23F3	2-8.3
2L	3466157	3467334	23F3-23F3	2-8.3
2L	3467342	3470004	23F3-23F3	2-8.3
2L	3470182	3472364	23F3-23F3	2-8.3
2L	3472603	3475338	23F3-23F3	2-8.3
2L	3475365	3476058	23F3-23F3	2-8.3
2L	3476343	3477648	23F3-23F3	2-8.3
2L	3478434	3479612	23F3-23F6	2-8.3
2L	3480755	3491071	23F3-23F6	2-8.3
2L	3493986	3508119	23F6-23F6	2-8.5
2L	3508598	3509036	23F6-23F6	2-8.7
2L	3509058	3510102	23F6-23F6	2-8.7
2L	3509099	3509440	23F6-23F6	2-8.7
