start	end	chr	Comeron_cm_mb
11700001	11800001	2L	1.41
11800001	11900001	2L	1.99
11900001	12000001	2L	2.23
12000001	12100001	2L	2.93
12100001	12200001	2L	4.22
12200001	12300001	2L	7.62
12300001	12400001	2L	2.11
12400001	12500001	2L	1.76
12500001	12600001	2L	5.16
12600001	12700001	2L	7.51
12700001	12800001	2L	3.05
12800001	12900001	2L	1.99
12900001	13000001	2L	1.29
13000001	13100001	2L	2.93
13100001	13200001	2L	5.04
13200001	13300001	2L	0.94
13300001	13400001	2L	0.82
13400001	13500001	2L	1.88
13500001	13600001	2L	3.64
13600001	13700001	2L	1.99
13700001	13800001	2L	3.99
13800001	13900001	2L	2.23
13900001	14000001	2L	1.64
14000001	14100001	2L	3.17
14100001	14200001	2L	1.88
14200001	14300001	2L	1.99
14300001	14400001	2L	1.64
14400001	14500001	2L	6.22
14500001	14600001	2L	1.17
14600001	14700001	2L	3.75
14700001	14800001	2L	1.06
14800001	14900001	2L	1.64
14900001	15000001	2L	1.17
15000001	15100001	2L	1.17
15100001	15200001	2L	0.94
15200001	15300001	2L	3.75
15300001	15400001	2L	1.64
15400001	15500001	2L	1.52
15500001	15600001	2L	0.59
15600001	15700001	2L	2.11
15700001	15800001	2L	1.06
15800001	15900001	2L	0.23
15900001	16000001	2L	0.82
16000001	16100001	2L	0.47
16100001	16200001	2L	0.70
16200001	16300001	2L	1.52
16300001	16400001	2L	3.52
16400001	16500001	2L	3.99
16500001	16600001	2L	3.87
16600001	16700001	2L	2.81
16700001	16800001	2L	4.22
16800001	16900001	2L	1.64
16900001	17000001	2L	5.63
17000001	17100001	2L	1.99
17100001	17200001	2L	1.52
17200001	17300001	2L	2.35
17300001	17400001	2L	1.17
17400001	17500001	2L	1.64
17500001	17600001	2L	0.12
17600001	17700001	2L	0.12
17700001	17800001	2L	0.47
17800001	17900001	2L	0.47
17900001	18000001	2L	1.99
18000001	18100001	2L	0.94
18100001	18200001	2L	0.70
18200001	18300001	2L	0.47
18300001	18400001	2L	0.35
18400001	18500001	2L	0.23
18500001	18600001	2L	0.23
18600001	18700001	2L	0.23
18700001	18800001	2L	0.23
18800001	18900001	2L	1.41
18900001	19000001	2L	0.12
19000001	19100001	2L	0.12
19100001	19200001	2L	0.47
19200001	19300001	2L	0.47
19300001	19400001	2L	0.00
19400001	19500001	2L	0.35
19500001	19600001	2L	0.12
19600001	19700001	2L	0.23
19700001	19800001	2L	0.12
19800001	19900001	2L	1.17
19900001	20000001	2L	0.23
20000001	20100001	2L	0.59
20100001	20200001	2L	0.12
20200001	20300001	2L	0.23
20300001	20400001	2L	0.00
20400001	20500001	2L	0.23
20500001	20600001	2L	0.70
20600001	20700001	2L	0.35
20700001	20800001	2L	0.23
20800001	20900001	2L	0.00
20900001	21000001	2L	2.35
21000001	21100001	2L	1.17
21100001	21200001	2L	0.35
21200001	21300001	2L	0.12
21300001	21400001	2L	0.12
21400001	21500001	2L	0.00
21500001	21600001	2L	0.35
21600001	21700001	2L	0.00
21700001	21800001	2L	0.00
21800001	21900001	2L	0.00
21900001	22000001	2L	0.00
22000001	22100001	2L	0.12
22100001	22200001	2L	0.00
22200001	22300001	2L	2.81
22300001	22400001	2L	3.87
22400001	22500001	2L	0.35
22500001	22600001	2L	0.12
22600001	22700001	2L	0.00
22700001	22800001	2L	0.00
22800001	22900001	2L	0.23
22900001	23000001	2L	0.00
