sampleId,country,city,collectionDate,lat,long,season,locality,type,continent,set,nFlies,SRA_accession,SRA_experiment,SeqPlatform,collector.x,sampleType,year,yday,stationId,dist_km,month,day,Date,Population,Locality,Locality_code,InternalName,Season,City,State,Country,Latitude,Longitude,Collection_date,Day,Month,Year,Individuals,Sex,Inbred,collector.y,Publication,Analyzed,Clinal,Core20,dp_mean_auto,dp_mean_x,SRA,concord
GA_at_14_fall,USA,Athens,10/15/14,33.95,-83.36,fall,GA_at,pooled,NorthAmerica,DrosRTEC,99,SRR3939056,SRX1968285,Illumina HiSeq 4000,K_.Dyer,wild,2014,288,USW00013873,3.011680235,10,15,2014-10-15,GA_at_14,GA_at,AGA,mel14AGA10_FAT,fall,Athens,Georgia,USA,33.95,-83.36,NA,NA,10,2014,99,male,FALSE,K .Dyer,Machado, Bergland et al 2021,yes,no,yes,155.34,71.82,SRS1577370,TRUE
GA_at_14_spring,USA,Athens,6/15/14,33.95,-83.36,spring,GA_at,pooled,NorthAmerica,DrosRTEC,44,SRR3939057,SRX1968286,Illumina HiSeq 4000,K_.Dyer,wild,2014,166,USW00013873,3.011680235,06,15,2014-06-15,GA_at_14,GA_at,AGA,mel14AGA6_SPT,spring,Athens,Georgia,USA,33.95,-83.36,2014-06-15,15-20,6,2014,44,male,FALSE,K .Dyer,Machado, Bergland et al 2021,yes,no,yes,89.21,39.7,SRS1577371,TRUE
KA_to_14_fall,USA,Topeka,10/22/14,39.202831,-95.741527,fall,KA_to,pooled,NorthAmerica,DrosRTEC,48,SRR3939085,SRX1968314,Illumina HiSeq 4000,P.Roy,wild,2014,295,USC00148171,17.40114088,10,22,2014-10-22,KA_to_14,KA_to,TKA,mel14TKA10_FAT,fall,Topeka,Kansas,USA,39,-96,2014-10-22,22,10,2014,48,male,FALSE,P.Roy,Machado, Bergland et al 2021,yes,no,yes,65.86,32.48,SRS1577399,FALSE
KA_to_14_spring,USA,Topeka,6/22/14,39.0913433,-95.6246509,spring,KA_to,pooled,NorthAmerica,DrosRTEC,72,SRR3939086,SRX1968315,Illumina HiSeq 4000,P.Roy,wild,2014,173,USW00013996,2.095700453,06,22,2014-06-22,KA_to_14,KA_to,TKA,mel14TKA6_SPT,spring,Topeka,Kansas,USA,39,-96,2014-06-22,22,6,2014,72,male,FALSE,P.Roy,Machado, Bergland et al 2021,yes,no,yes,76.68,36.48,SRS1577400,FALSE
MA_la_12_fall,USA,Lancaster,10/2/12,42.45,-71.67,fall,MA_la,pooled,NorthAmerica,DrosRTEC,63,SRR3590556,SRX1801501,Illumina HiSeq 2000,P._Schmidt_lab,wild,2012,276,USW00004780,13.3367348,10,02,2012-10-02,MA_la_12,MA_la,MA,melMA_102012_FAT,fall,Lancaster,Massacusetts,USA,42.45,-71.67,2012-10-02,2,10,2012,63,male,FALSE,P. Schmidt lab,Machado, Bergland et al 2021,yes,no,yes,52,26.92,SRS1468209,FALSE
MA_la_12_spring,USA,Lancaster,7/28/12,42.45,-71.67,spring,MA_la,pooled,NorthAmerica,DrosRTEC,100,SRR3590557,SRX1801502,Illumina HiSeq 2000,P._Schmidt,wild,2012,210,USW00004780,13.3367348,07,28,2012-07-28,MA_la_12,MA_la,MA,melMA_072012_SPT,spring,Lancaster,Massacusetts,USA,42.45,-71.67,2012-07-28,28,7,2012,100,male,FALSE,P. Schmidt,Machado, Bergland et al 2021,yes,no,yes,62.15,34,SRS1468210,FALSE
MA_la_14_fall,USA,Lancaster,10/20/14,42.45,-71.67,fall,MA_la,pooled,NorthAmerica,DrosRTEC,90,SRR3939080,SRX1968309,Illumina HiSeq 4000,P._Schmidt_lab,wild,2014,293,USW00004780,13.3367348,10,20,2014-10-20,MA_la_14,MA_la,LMA,mel14LMA10_FAT,fall,Lancaster,Massachusetts,USA,42.45,-71.67,2014-10-20,20,10,2014,90,male,FALSE,P. Schmidt lab,Machado, Bergland et al 2021,yes,no,yes,118.64,57.39,SRS1577394,TRUE
MA_la_14_spring,USA,Lancaster,7/20/14,42.45,-71.67,spring,MA_la,pooled,NorthAmerica,DrosRTEC,32,SRR3939082,SRX1968311,Illumina HiSeq 4000,P._Schmidt_lab,wild,2014,201,USW00004780,13.3367348,07,20,2014-07-20,MA_la_14,MA_la,LMA,mel14LMA7_SPT,spring,Lancaster,Massachusetts,USA,42.45,-71.67,2014-07-20,20,7,2014,32,male,FALSE,P. Schmidt lab,Machado, Bergland et al 2021,yes,no,yes,98.67,48.52,SRS1577396,TRUE
MI_bh_14_fall,USA,Benton Harbor,11/5/14,42.1111,-86.4483,fall,MI_bh,pooled,NorthAmerica,DrosRTEC,34,SRR3939058,SRX1968287,Illumina HiSeq 4000,T._Karasov_et_al,wild,2014,309,USC00200710,2.318021111,11,05,2014-11-05,MI_bh_14,MI_bh,BHM,mel14BHM11_FAT,fall,Benton Harbor,Michigan,USA,42.1111,-86.4483,2014-11-05,5,11,2014,34,male,FALSE,T. Karasov et al,Machado, Bergland et al 2021,yes,no,yes,203.18,94.87,SRS1577372,FALSE
MI_bh_14_spring,USA,Benton Harbor,7/26/14,42.1111,-86.4483,spring,MI_bh,pooled,NorthAmerica,DrosRTEC,106,SRR3939059,SRX1968288,Illumina HiSeq 4000,T._Karasov_et_al,wild,2014,207,USC00200710,2.318021111,07,26,2014-07-26,MI_bh_14,MI_bh,BHM,mel14BHM7_SPT,spring,Benton Harbor,Michigan,USA,42.1111,-86.4483,2014-07-26,26,7,2014,106,male,FALSE,T. Karasov et al,Machado, Bergland et al 2021,yes,no,yes,127.24,58.96,SRS1577373,FALSE
NY_it_12_fall,USA,Ithaca,9/23/12,42.44,-76.5,fall,NY_it,pooled,NorthAmerica,DrosRTEC,58,SRR3590558,SRX1801503,Illumina HiSeq 2000,Howick/Lazzaro,wild,2012,267,USC00304174,4.30252227,09,23,2012-09-23,NY_it_12,NY_it,NY,melNY_102012_FAT,fall,Ithaca,New York,USA,42.44,-76.5,2012-09-23,23,9,2012,58,male,FALSE,Howick/Lazzaro,Machado, Bergland et al 2021,yes,no,yes,39.53,20.47,SRS1468211,TRUE
NY_it_12_spring,USA,Ithaca,7/25/12,42.44,-76.5,spring,NY_it,pooled,NorthAmerica,DrosRTEC,30,SRR3590559,SRX1801504,Illumina HiSeq 2000,Howick/Lazzaro,wild,2012,207,USC00304174,4.30252227,07,25,2012-07-25,NY_it_12,NY_it,NY,melNY_072012_SPT,spring,Ithaca,New York,USA,42.44,-76.5,2012-07-25,25,7,2012,30,male,FALSE,Howick/Lazzaro,Machado, Bergland et al 2021,yes,no,yes,75.25,36.7,SRS1468213,TRUE
ON_su_15_fall,Canada,Sudbury,9/30/15,46.53,-80.96,fall,ON_su,pooled,NorthAmerica,DrosRTEC,110,SRR3939092,SRX1968321,Illumina HiSeq 4000,T._Merrit,wild,2015,273,CA006068145,16.80056936,09,30,2015-09-30,ON_su_15,ON_su,SON,mel15SON9_FAT,fall,Sudbury,Ontario,Canada,46.53,-80.96,2015-09-30,30,9,2015,110,male,FALSE,T. Merrit,Machado, Bergland et al 2021,yes,no,yes,86.23,41.75,SRS1577406,TRUE
ON_su_15_spring,Canada,Sudbury,8/3/15,46.53,-80.96,spring,ON_su,pooled,NorthAmerica,DrosRTEC,108,SRR3939091,SRX1968320,Illumina HiSeq 4000,T._Merrit,wild,2015,215,CA006068145,16.80056936,08,03,2015-08-03,ON_su_15,ON_su,SON,mel15SON8_SPT,spring,Sudbury,Ontario,Canada,46.53,-80.96,2015-08-03,3,8,2015,108,male,FALSE,T. Merrit,Machado, Bergland et al 2021,yes,no,yes,214.91,119.07,SRS1577405,TRUE
PA_li_10_fall,USA,Linvilla,11/15/10,39.88,-75.41,fall,PA_li,pooled,NorthAmerica,DrosRTEC,33,SRR1525771,SRX661840,Illumina HiSeq 2000,P._Schmidt_lab,F1,2010,319,USC00365390,6.272149199,11,15,2010-11-15,PA_li_10,PA_li,PA,melPA_112010_FAT,fall,Linvilla,Pennsylvania,USA,39.88,-75.41,2010-11-15,NA,11,2010,33,male,FALSE,P. Schmidt lab,Bergland et al 2014,yes,no,yes,88.28,45.56,SRX661840,TRUE
PA_li_10_spring,USA,Linvilla,7/15/10,39.88,-75.41,spring,PA_li,pooled,NorthAmerica,DrosRTEC,116,SRR1525770,SRX661839,Illumina HiSeq 2000,P._Schmidt_lab,F1,2010,196,USC00365390,6.272149199,07,15,2010-07-15,PA_li_10,PA_li,PA,melPA_72010_SPT,spring,Linvilla,Pennsylvania,USA,39.88,-75.41,2010-07-15,NA,7,2010,116,male,FALSE,P. Schmidt lab,Bergland et al 2014,yes,no,yes,44.61,26.9,SRX661839,TRUE
PA_li_11_fall,USA,Linvilla,10/15/11,39.88,-75.41,fall,PA_li,pooled,NorthAmerica,DrosRTEC,47,SRR1525773,SRX661842,Illumina HiSeq 2000,P._Schmidt_lab,F1,2011,288,USC00365390,6.272149199,10,15,2011-10-15,PA_li_11,PA_li,PA,melPA_102011_FAT,fall,Linvilla,Pennsylvania,USA,39.88,-75.41,2011-10-15,NA,10,2011,47,male,FALSE,P. Schmidt lab,Bergland et al 2014,yes,no,yes,87.98,45.93,SRX661842,TRUE
PA_li_11_spring,USA,Linvilla,7/15/11,39.88,-75.41,spring,PA_li,pooled,NorthAmerica,DrosRTEC,75,SRR1525772,SRX661841,Illumina HiSeq 2000,P._Schmidt_lab,F1,2011,196,USC00365390,6.272149199,07,15,2011-07-15,PA_li_11,PA_li,PA,melPA_72011_SPT,spring,Linvilla,Pennsylvania,USA,39.88,-75.41,2011-07-15,NA,7,2011,75,male,FALSE,P. Schmidt lab,Bergland et al 2014,yes,yes,yes,65.78,35.72,SRX661841,TRUE
PA_st_14_fall,USA,State College,10/16/14,40.793395,-77.860001,fall,PA_st,pooled,NorthAmerica,DrosRTEC,67,SRR3939083,SRX1968312,Illumina HiSeq 4000,S._Schaeffer,wild,2014,289,USC00368449,0.607668177,10,16,2014-10-16,PA_sc_14,PA_sc,SCPA,mel14SCPA10_FAT,fall,State College,Pennsylvania,USA,40.793395,-77.860001,2014-10-16,16,10,2014,67,male,FALSE,S. Schaeffer,Machado, Bergland et al 2021,yes,no,yes,104.29,49.29,SRS1577397,TRUE
PA_st_14_spring,USA,State College,6/18/14,40.793395,-77.860001,spring,PA_st,pooled,NorthAmerica,DrosRTEC,45,SRR3939084,SRX1968313,Illumina HiSeq 4000,S._Schaeffer,wild,2014,169,USC00368449,0.607668177,06,18,2014-06-18,PA_sc_14,PA_sc,SCPA,mel14SCPA6_SPT,spring,State College,Pennsylvania,USA,40.793395,-77.860001,2014-06-18,18-24,6,2014,45,male,FALSE,S. Schaeffer,Machado, Bergland et al 2021,yes,no,yes,116.55,55.02,SRS1577398,TRUE
UA_od_13_fall,Ukraine,Odessa,10/15/13,46.49,30.71,fall,UA_Ode,pooled,Europe,DrosRTEC,61,SRR3939053,SRX1968282,Illumina HiSeq 4000,I._Kozeretska,wild,2013,288,UPM00033837,6.242456774,10,15,2013-10-15,UA_od_13,UA_od,OUK,mel13OUK10_FAT,fall,Odessa,NA,Ukraine,46.49,30.71,NA,NA,10,2013,61,male,FALSE,I. Kozeretska,Machado, Bergland et al 2021,yes,no,yes,83.91,41.79,SRS1577367,TRUE
UA_od_13_spring,Ukraine,Odessa,5/15/13,46.49,30.71,spring,UA_Ode,pooled,Europe,DrosRTEC,37,SRR3939055,SRX1968284,Illumina HiSeq 4000,I._Kozeretska,wild,2013,135,UPM00033837,6.242456774,05,15,2013-05-15,UA_od_13,UA_od,OUK,mel13OUK5_SPT,spring,Odessa,NA,Ukraine,46.49,30.71,NA,NA,5,2013,37,male,FALSE,I. Kozeretska,Machado, Bergland et al 2021,yes,no,yes,84.42,41.49,SRS1577369,TRUE
VA_ch_14_fall,USA,Charlotttesville,10/14/14,38,-78.47,fall,VA_ch,pooled,NorthAmerica,DrosRTEC,76,SRR3939076,SRX1968305,Illumina HiSeq 4000,P._Schmidt_lab,wild,2014,287,USW00003759,0.475773345,10,14,2014-10-14,VA_ch_14,VA_ch,CUA,mel14CUA10_FAT,fall,Charlotttesville,Virginia,USA,38,-78.47,2014-10-14,14,10,2014,76,male,FALSE,P. Schmidt lab,Machado, Bergland et al 2021,yes,no,yes,95.74,46.76,SRS1577390,TRUE
VA_ch_14_spring,USA,Charlotttesville,6/25/14,38,-78.47,spring,VA_ch,pooled,NorthAmerica,DrosRTEC,104,SRR3939077,SRX1968306,Illumina HiSeq 4000,P._Schmidt_lab,wild,2014,176,USW00003759,0.475773345,06,25,2014-06-25,VA_ch_14,VA_ch,CUA,mel14CUA6_SPT,spring,Charlotttesville,Virginia,USA,38,-78.47,2014-06-25,25,6,2014,104,male,FALSE,P. Schmidt lab,Machado, Bergland et al 2021,yes,no,yes,102.04,51.94,SRS1577391,TRUE
VA_ch_15_fall,USA,Charlotttesville,10/19/15,38,-78.47,fall,VA_ch,pooled,NorthAmerica,DrosRTEC,89,SRR3939087,SRX1968316,Illumina HiSeq 4000,A._Bergland,wild,2015,292,USW00003759,0.475773345,10,19,2015-10-19,VA_ch_15,VA_ch,CUA,mel15CUA10_FAT,fall,Charlotttesville,Virginia,USA,38,-78.47,2015-10-19,19,10,2015,89,male,FALSE,A. Bergland,Machado, Bergland et al 2021,yes,no,yes,98.39,49.46,SRS1577401,TRUE
VA_ch_15_spring,USA,Charlotttesville,7/1/15,38,-78.47,spring,VA_ch,pooled,NorthAmerica,DrosRTEC,65,SRR3939088,SRX1968317,Illumina HiSeq 4000,A._Bergland,wild,2015,182,USW00003759,0.475773345,07,01,2015-07-01,VA_ch_15,VA_ch,CUA,mel15CUA7_SPT,spring,Charlotttesville,Virginia,USA,38,-78.47,2015-07-01,1,7,2015,65,male,FALSE,A. Bergland,Machado, Bergland et al 2021,yes,no,yes,104.38,49.47,SRS1577402,TRUE
WI_cp_12_fall,USA,Cross Plains,9/11/12,43.11,-89.65,fall,WI_cp,pooled,NorthAmerica,DrosRTEC,164,SRR3590562,SRX1801507,Illumina HiSeq 2000,J._Pool,wild,2012,255,USC00471416,14.78484987,09,11,2012-09-11,WI_cp_12,WI_cp,WI,melWI_102012_FAT,fall,Cross Plains,Wisconsin,USA,43.11,-89.65,2012-09-11,11,9,2012,164,male,FALSE,J. Pool,Machado, Bergland et al 2021,yes,no,yes,54.12,26.63,SRS1468216,TRUE
WI_cp_12_spring,USA,Cross Plains,6/10/12,43.11,-89.65,spring,WI_cp,pooled,NorthAmerica,DrosRTEC,83,SRR3590555,SRX1801500,Illumina HiSeq 2000,J._Pool,wild,2012,162,USC00471416,14.78484987,06,10,2012-06-10,WI_cp_12,WI_cp,WI,melWI_062012_SPT,spring,Cross Plains,Wisconsin,USA,43.11,-89.65,2012-06-10,10,6,2012,83,male,FALSE,J. Pool,Machado, Bergland et al 2021,yes,no,yes,22.35,13.57,SRS1468208,TRUE
WI_cp_14_fall,USA,Cross Plains,9/18/14,43.11,-89.65,fall,WI_cp,pooled,NorthAmerica,DrosRTEC,61,SRR8061819,SRX4891299,Illumina HiSeq 2000,J._Pool,wild,2014,261,USC00471416,14.78484987,09,18,2014-09-18,WI_cp_14,WI_cp,CWI,mel14CWI9_FAT,fall,Cross Plains,Wisconsin,USA,43.11,-89.65,2014-09-18,18,9,2014,61,male,FALSE,J. Pool,Machado, Bergland et al 2021,yes,no,yes,144.31,70.51,SRS1577393,TRUE
WI_cp_14_spring,USA,Cross Plains,6/25/14,43.11,-89.65,spring,WI_cp,pooled,NorthAmerica,DrosRTEC,130,SRR3939078,SRX1968307,Illumina HiSeq 4000,J._Pool,wild,2014,176,USC00471416,14.78484987,06,25,2014-06-25,WI_cp_14,WI_cp,CWI,mel14CWI6_SPT,spring,Cross Plains,Wisconsin,USA,43.11,-89.65,2014-06-25,25,6,2014,130,male,FALSE,J. Pool,Machado, Bergland et al 2021,yes,no,yes,108.42,52.06,SRS1577392,TRUE
