sample,location,longitude,latitude,FASTQ_file,file_loc
12BME10-209,bowdoin_me,-69.96,44,N704-N517_S1_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N517_S1_L003_R1_001.fastq.gz
12BME10-209,bowdoin_me,-69.96,44,N704-N517_S1_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N517_S1_L003_R2_001.fastq.gz
12BME10-209,bowdoin_me,-69.96,44,N704-N517_S1_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N517_S1_L004_R1_001.fastq.gz
12BME10-209,bowdoin_me,-69.96,44,N704-N517_S1_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N517_S1_L004_R2_001.fastq.gz
12BME10-114,bowdoin_me,-69.96,44,N706-N517_S3_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N517_S3_L001_R1_001.fastq.gz
12BME10-114,bowdoin_me,-69.96,44,N706-N517_S3_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N517_S3_L001_R2_001.fastq.gz
12BME10-114,bowdoin_me,-69.96,44,N706-N517_S3_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N517_S3_L002_R1_001.fastq.gz
12BME10-114,bowdoin_me,-69.96,44,N706-N517_S3_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N517_S3_L002_R2_001.fastq.gz
12BME10-114,bowdoin_me,-69.96,44,N706-N517_S3_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N517_S3_L003_R1_001.fastq.gz
12BME10-114,bowdoin_me,-69.96,44,N706-N517_S3_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N517_S3_L003_R2_001.fastq.gz
12BME10-114,bowdoin_me,-69.96,44,N706-N517_S3_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N517_S3_L004_R1_001.fastq.gz
12BME10-114,bowdoin_me,-69.96,44,N706-N517_S3_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N517_S3_L004_R2_001.fastq.gz
12BME10-229,bowdoin_me,-69.96,44,N707-N517_S4_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N707-N517_S4_L001_R1_001.fastq.gz
12BME10-229,bowdoin_me,-69.96,44,N707-N517_S4_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N707-N517_S4_L001_R2_001.fastq.gz
12BME10-229,bowdoin_me,-69.96,44,N707-N517_S4_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N707-N517_S4_L002_R1_001.fastq.gz
12BME10-229,bowdoin_me,-69.96,44,N707-N517_S4_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N707-N517_S4_L002_R2_001.fastq.gz
12BME10-229,bowdoin_me,-69.96,44,N707-N517_S4_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N707-N517_S4_L003_R1_001.fastq.gz
12BME10-229,bowdoin_me,-69.96,44,N707-N517_S4_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N707-N517_S4_L003_R2_001.fastq.gz
12BME10-229,bowdoin_me,-69.96,44,N707-N517_S4_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N707-N517_S4_L004_R1_001.fastq.gz
12BME10-229,bowdoin_me,-69.96,44,N707-N517_S4_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N707-N517_S4_L004_R2_001.fastq.gz
12BME10-242,bowdoin_me,-69.96,44,N708-N517_S5_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N517_S5_L001_R1_001.fastq.gz
12BME10-242,bowdoin_me,-69.96,44,N708-N517_S5_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N517_S5_L001_R2_001.fastq.gz
12BME10-242,bowdoin_me,-69.96,44,N708-N517_S5_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N517_S5_L002_R1_001.fastq.gz
12BME10-242,bowdoin_me,-69.96,44,N708-N517_S5_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N517_S5_L002_R2_001.fastq.gz
12BME10-242,bowdoin_me,-69.96,44,N708-N517_S5_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N517_S5_L003_R1_001.fastq.gz
12BME10-242,bowdoin_me,-69.96,44,N708-N517_S5_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N517_S5_L003_R2_001.fastq.gz
12BME10-242,bowdoin_me,-69.96,44,N708-N517_S5_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N517_S5_L004_R1_001.fastq.gz
12BME10-242,bowdoin_me,-69.96,44,N708-N517_S5_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N517_S5_L004_R2_001.fastq.gz
12BME10-111,bowdoin_me,-69.96,44,N710-N517_S6_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N517_S6_L001_R1_001.fastq.gz
12BME10-111,bowdoin_me,-69.96,44,N710-N517_S6_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N517_S6_L001_R2_001.fastq.gz
12BME10-111,bowdoin_me,-69.96,44,N710-N517_S6_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N517_S6_L002_R1_001.fastq.gz
12BME10-111,bowdoin_me,-69.96,44,N710-N517_S6_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N517_S6_L002_R2_001.fastq.gz
12BME10-111,bowdoin_me,-69.96,44,N710-N517_S6_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N517_S6_L003_R1_001.fastq.gz
12BME10-111,bowdoin_me,-69.96,44,N710-N517_S6_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N517_S6_L003_R2_001.fastq.gz
12BME10-111,bowdoin_me,-69.96,44,N710-N517_S6_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N517_S6_L004_R1_001.fastq.gz
12BME10-111,bowdoin_me,-69.96,44,N710-N517_S6_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N517_S6_L004_R2_001.fastq.gz
12BME10-231,bowdoin_me,-69.96,44,N711-N517_S7_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N517_S7_L001_R1_001.fastq.gz
12BME10-231,bowdoin_me,-69.96,44,N711-N517_S7_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N517_S7_L001_R2_001.fastq.gz
12BME10-231,bowdoin_me,-69.96,44,N711-N517_S7_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N517_S7_L002_R1_001.fastq.gz
12BME10-231,bowdoin_me,-69.96,44,N711-N517_S7_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N517_S7_L002_R2_001.fastq.gz
12BME10-231,bowdoin_me,-69.96,44,N711-N517_S7_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N517_S7_L003_R1_001.fastq.gz
12BME10-231,bowdoin_me,-69.96,44,N711-N517_S7_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N517_S7_L003_R2_001.fastq.gz
12BME10-231,bowdoin_me,-69.96,44,N711-N517_S7_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N517_S7_L004_R1_001.fastq.gz
12BME10-231,bowdoin_me,-69.96,44,N711-N517_S7_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N517_S7_L004_R2_001.fastq.gz
12BME10-195,bowdoin_me,-69.96,44,N703-N502_S10_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N502_S10_L001_R1_001.fastq.gz
12BME10-195,bowdoin_me,-69.96,44,N703-N502_S10_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N502_S10_L001_R2_001.fastq.gz
12BME10-195,bowdoin_me,-69.96,44,N703-N502_S10_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N502_S10_L002_R1_001.fastq.gz
12BME10-195,bowdoin_me,-69.96,44,N703-N502_S10_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N502_S10_L002_R2_001.fastq.gz
12BME10-195,bowdoin_me,-69.96,44,N703-N502_S10_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N502_S10_L003_R1_001.fastq.gz
12BME10-195,bowdoin_me,-69.96,44,N703-N502_S10_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N502_S10_L003_R2_001.fastq.gz
12BME10-195,bowdoin_me,-69.96,44,N703-N502_S10_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N502_S10_L004_R1_001.fastq.gz
12BME10-195,bowdoin_me,-69.96,44,N703-N502_S10_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N502_S10_L004_R2_001.fastq.gz
12BME10-118,bowdoin_me,-69.96,44,N704-N502_S11_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N502_S11_L001_R1_001.fastq.gz
12BME10-118,bowdoin_me,-69.96,44,N704-N502_S11_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N502_S11_L001_R2_001.fastq.gz
12BME10-118,bowdoin_me,-69.96,44,N704-N502_S11_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N502_S11_L002_R1_001.fastq.gz
12BME10-118,bowdoin_me,-69.96,44,N704-N502_S11_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N502_S11_L002_R2_001.fastq.gz
12BME10-118,bowdoin_me,-69.96,44,N704-N502_S11_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N502_S11_L003_R1_001.fastq.gz
12BME10-118,bowdoin_me,-69.96,44,N704-N502_S11_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N502_S11_L003_R2_001.fastq.gz
12BME10-118,bowdoin_me,-69.96,44,N704-N502_S11_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N502_S11_L004_R1_001.fastq.gz
12BME10-118,bowdoin_me,-69.96,44,N704-N502_S11_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N502_S11_L004_R2_001.fastq.gz
12BME10-198,bowdoin_me,-69.96,44,N705-N502_S12_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N705-N502_S12_L001_R1_001.fastq.gz
12BME10-198,bowdoin_me,-69.96,44,N705-N502_S12_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N705-N502_S12_L001_R2_001.fastq.gz
12BME10-198,bowdoin_me,-69.96,44,N705-N502_S12_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N705-N502_S12_L002_R1_001.fastq.gz
12BME10-198,bowdoin_me,-69.96,44,N705-N502_S12_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N705-N502_S12_L002_R2_001.fastq.gz
12BME10-198,bowdoin_me,-69.96,44,N705-N502_S12_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N705-N502_S12_L003_R1_001.fastq.gz
12BME10-198,bowdoin_me,-69.96,44,N705-N502_S12_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N705-N502_S12_L003_R2_001.fastq.gz
12BME10-198,bowdoin_me,-69.96,44,N705-N502_S12_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N705-N502_S12_L004_R1_001.fastq.gz
12BME10-198,bowdoin_me,-69.96,44,N705-N502_S12_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N705-N502_S12_L004_R2_001.fastq.gz
12BME10-252,bowdoin_me,-69.96,44,N708-N503_S26_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N503_S26_L001_R1_001.fastq.gz
12BME10-252,bowdoin_me,-69.96,44,N708-N503_S26_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N503_S26_L001_R2_001.fastq.gz
12BME10-252,bowdoin_me,-69.96,44,N708-N503_S26_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N503_S26_L002_R1_001.fastq.gz
12BME10-252,bowdoin_me,-69.96,44,N708-N503_S26_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N503_S26_L002_R2_001.fastq.gz
12BME10-252,bowdoin_me,-69.96,44,N708-N503_S26_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N503_S26_L003_R1_001.fastq.gz
12BME10-252,bowdoin_me,-69.96,44,N708-N503_S26_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N503_S26_L003_R2_001.fastq.gz
12BME10-252,bowdoin_me,-69.96,44,N708-N503_S26_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N503_S26_L004_R1_001.fastq.gz
12BME10-252,bowdoin_me,-69.96,44,N708-N503_S26_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N503_S26_L004_R2_001.fastq.gz
12BME10-278,bowdoin_me,-69.96,44,N703-N504_S31_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N504_S31_L001_R1_001.fastq.gz
12BME10-278,bowdoin_me,-69.96,44,N703-N504_S31_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N504_S31_L001_R2_001.fastq.gz
12BME10-278,bowdoin_me,-69.96,44,N703-N504_S31_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N504_S31_L002_R1_001.fastq.gz
12BME10-278,bowdoin_me,-69.96,44,N703-N504_S31_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N504_S31_L002_R2_001.fastq.gz
12BME10-278,bowdoin_me,-69.96,44,N703-N504_S31_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N504_S31_L003_R1_001.fastq.gz
12BME10-278,bowdoin_me,-69.96,44,N703-N504_S31_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N504_S31_L003_R2_001.fastq.gz
12BME10-278,bowdoin_me,-69.96,44,N703-N504_S31_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N504_S31_L004_R1_001.fastq.gz
12BME10-278,bowdoin_me,-69.96,44,N703-N504_S31_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N504_S31_L004_R2_001.fastq.gz
12BME10-245,bowdoin_me,-69.96,44,N706-N504_S34_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N504_S34_L001_R1_001.fastq.gz
12BME10-245,bowdoin_me,-69.96,44,N706-N504_S34_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N504_S34_L001_R2_001.fastq.gz
12BME10-245,bowdoin_me,-69.96,44,N706-N504_S34_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N504_S34_L002_R1_001.fastq.gz
12BME10-245,bowdoin_me,-69.96,44,N706-N504_S34_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N504_S34_L002_R2_001.fastq.gz
12BME10-245,bowdoin_me,-69.96,44,N706-N504_S34_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N504_S34_L003_R1_001.fastq.gz
12BME10-245,bowdoin_me,-69.96,44,N706-N504_S34_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N504_S34_L003_R2_001.fastq.gz
12BME10-245,bowdoin_me,-69.96,44,N706-N504_S34_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N504_S34_L004_R1_001.fastq.gz
12BME10-245,bowdoin_me,-69.96,44,N706-N504_S34_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N706-N504_S34_L004_R2_001.fastq.gz
12BME10-128,bowdoin_me,-69.96,44,N709-N504_S37_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N709-N504_S37_L001_R1_001.fastq.gz
12BME10-128,bowdoin_me,-69.96,44,N709-N504_S37_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N709-N504_S37_L001_R2_001.fastq.gz
12BME10-128,bowdoin_me,-69.96,44,N709-N504_S37_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N709-N504_S37_L002_R1_001.fastq.gz
12BME10-128,bowdoin_me,-69.96,44,N709-N504_S37_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N709-N504_S37_L002_R2_001.fastq.gz
12BME10-128,bowdoin_me,-69.96,44,N709-N504_S37_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N709-N504_S37_L003_R1_001.fastq.gz
12BME10-128,bowdoin_me,-69.96,44,N709-N504_S37_L003_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N709-N504_S37_L003_R2_001.fastq.gz
12BME10-128,bowdoin_me,-69.96,44,N709-N504_S37_L004_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N709-N504_S37_L004_R1_001.fastq.gz
12BME10-128,bowdoin_me,-69.96,44,N709-N504_S37_L004_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N709-N504_S37_L004_R2_001.fastq.gz
12BME10-223_(B),bowdoin_me,-69.96,44,N710-N504_S38_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N504_S38_L001_R1_001.fastq.gz
12BME10-223_(B),bowdoin_me,-69.96,44,N710-N504_S38_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N504_S38_L001_R2_001.fastq.gz
12BME10-223_(B),bowdoin_me,-69.96,44,N710-N504_S38_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N504_S38_L002_R1_001.fastq.gz
12BME10-223_(B),bowdoin_me,-69.96,44,N710-N504_S38_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N504_S38_L002_R2_001.fastq.gz
12BME10-223_(B),bowdoin_me,-69.96,44,N710-N504_S38_L003_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N710-N504_S38_L003_R1_001.fastq.gz
